                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    126,                0.32364,                0.18223,                0.84635,                0.88045,                0.88878,                0.90605,                0.66691,                0.72532,                0.28642,                 1.0693,               0.005875,               0.005875,               0.005875
                    127,                0.32274,                0.18177,                0.84284,                0.89819,                0.86842,                0.90341,                0.66342,                0.72554,                0.28766,                 1.0698,               0.005842,               0.005842,               0.005842
                    128,                0.32062,                0.18068,                 0.8396,                0.89418,                0.88213,                0.90607,                0.66082,                0.72675,                0.28501,                 1.0604,               0.005809,               0.005809,               0.005809
                    129,                0.31821,                0.18117,                0.83905,                0.90474,                 0.8779,                0.90763,                0.66394,                0.72909,                0.28393,                 1.0565,               0.005776,               0.005776,               0.005776
                    130,                0.32102,                0.18131,                0.83952,                0.89452,                 0.8916,                0.90801,                0.66353,                0.72873,                0.28348,                 1.0536,               0.005743,               0.005743,               0.005743
                    131,                0.32186,                0.18408,                0.83931,                0.90119,                0.88515,                 0.9129,                0.66932,                0.72636,                0.28181,                 1.0482,                0.00571,                0.00571,                0.00571
                    132,                0.32139,                0.18247,                0.83807,                0.90561,                0.87486,                0.91779,                0.67259,                0.72548,                0.28416,                 1.0443,               0.005677,               0.005677,               0.005677
                    133,                0.31906,                0.18042,                0.84019,                 0.9064,                  0.872,                0.91561,                0.66869,                0.72429,                0.28224,                 1.0463,               0.005644,               0.005644,               0.005644
                    134,                0.31653,                0.18015,                  0.841,                0.90595,                0.86398,                0.91614,                0.67191,                0.72676,                0.28329,                 1.0535,               0.005611,               0.005611,               0.005611
                    135,                0.31608,                0.18025,                0.84073,                 0.8828,                0.88333,                0.91539,                0.67086,                0.72599,                 0.2831,                 1.0544,               0.005578,               0.005578,               0.005578
                    136,                0.31944,                0.17946,                0.83964,                0.89125,                0.87763,                0.91457,                0.66979,                 0.7245,                0.28454,                 1.0513,               0.005545,               0.005545,               0.005545
                    137,                0.31203,                0.17683,                0.83743,                0.88244,                0.88564,                0.91345,                 0.6703,                0.72506,                0.28154,                  1.054,               0.005512,               0.005512,               0.005512
                    138,                0.31232,                 0.1774,                0.84172,                 0.8789,                0.88709,                0.91352,                0.67354,                  0.724,                0.28368,                 1.0627,               0.005479,               0.005479,               0.005479
                    139,                0.31404,                0.17772,                0.84411,                0.88376,                0.88635,                0.91204,                0.67058,                0.72588,                0.28326,                 1.0731,               0.005446,               0.005446,               0.005446
                    140,                0.31189,                0.17838,                0.84404,                0.89835,                 0.8785,                0.91417,                0.67235,                0.72777,                0.28331,                 1.0802,               0.005413,               0.005413,               0.005413
                    141,                0.30998,                0.17762,                0.83969,                0.91053,                0.87467,                0.91558,                0.67105,                0.72884,                0.28545,                  1.078,                0.00538,                0.00538,                0.00538
                    142,                0.30734,                0.17663,                  0.836,                0.89145,                0.88535,                0.91111,                 0.6693,                0.72671,                0.28454,                   1.07,               0.005347,               0.005347,               0.005347
                    143,                0.30962,                0.17695,                0.83784,                0.89017,                0.88233,                0.91016,                0.67253,                0.72619,                0.28294,                 1.0635,               0.005314,               0.005314,               0.005314
                    144,                 0.3087,                0.17669,                0.83817,                0.89334,                0.88635,                  0.915,                0.67279,                0.72564,                 0.2854,                 1.0589,               0.005281,               0.005281,               0.005281
                    145,                0.30406,                0.17376,                0.83894,                0.88931,                 0.8832,                0.91509,                0.67764,                0.72528,                0.28467,                 1.0651,               0.005248,               0.005248,               0.005248
                    146,                0.30256,                0.17303,                0.83731,                  0.924,                0.86039,                0.91363,                 0.6724,                0.72673,                 0.2857,                 1.0702,               0.005215,               0.005215,               0.005215
                    147,                0.30567,                0.17519,                0.83965,                0.93348,                0.85635,                0.91233,                0.67014,                0.72579,                0.28651,                 1.0736,               0.005182,               0.005182,               0.005182
                    148,                0.30346,                0.17357,                0.83469,                0.92402,                0.85988,                0.91173,                0.66983,                0.72538,                0.28602,                 1.0701,               0.005149,               0.005149,               0.005149
                    149,                0.30197,                 0.1718,                0.83529,                0.93579,                0.84663,                0.91367,                0.67207,                0.72525,                0.28315,                  1.067,               0.005116,               0.005116,               0.005116
                    150,                0.29947,                0.17102,                0.83424,                 0.9383,                0.85032,                0.91271,                 0.6712,                0.72517,                0.28309,                 1.0654,               0.005083,               0.005083,               0.005083
                    151,                0.30201,                0.17195,                0.83621,                0.94019,                0.84893,                0.91328,                0.67265,                0.72542,                0.28354,                 1.0643,                0.00505,                0.00505,                0.00505
                    152,                0.29984,                0.17079,                0.83355,                0.91622,                0.85773,                 0.9123,                0.67182,                0.72652,                0.28361,                 1.0643,               0.005017,               0.005017,               0.005017
                    153,                0.29799,                0.17085,                0.83189,                0.91389,                0.85815,                0.91087,                0.66952,                0.72637,                0.28188,                 1.0632,               0.004984,               0.004984,               0.004984
                    154,                0.30041,                0.17185,                0.83651,                0.90387,                  0.865,                0.90756,                0.66881,                0.72571,                0.28067,                  1.062,               0.004951,               0.004951,               0.004951
                    155,                 0.2953,                 0.1692,                0.83355,                0.90734,                0.86157,                 0.9072,                0.66726,                0.72603,                0.28206,                 1.0623,               0.004918,               0.004918,               0.004918
                    156,                0.29369,                0.16687,                0.83071,                0.91044,                 0.8646,                0.90822,                0.66847,                 0.7262,                0.28239,                 1.0609,               0.004885,               0.004885,               0.004885
                    157,                0.29707,                 0.1691,                0.83251,                0.91315,                0.85635,                0.90898,                0.66986,                 0.7257,                0.28085,                 1.0599,               0.004852,               0.004852,               0.004852
                    158,                0.29516,                0.16936,                0.83204,                0.90963,                0.85497,                0.90921,                0.67167,                0.72636,                0.27989,                 1.0594,               0.004819,               0.004819,               0.004819
